type	r	lr	epoch	loss_val	rocauc_val	run
CNNModel	1.0	1e-05	0	0.45414814352989197	0.8293433496944299	0
CNNModel	1.0	1e-05	1	0.43332430720329285	0.8440146573248425	0
CNNModel	1.0	1e-05	2	0.4223572611808777	0.8491944833572919	0
CNNModel	1.0	1e-05	3	0.4170122742652893	0.8536109545175904	0
CNNModel	1.0	1e-05	4	0.4130992591381073	0.856906574364136	0
CNNModel	1.0	1e-05	5	0.4102788269519806	0.8590472620372311	0
CNNModel	1.0	1e-05	6	0.4082517921924591	0.8605472209831777	0
CNNModel	1.0	1e-05	7	0.4070381820201874	0.8622911981708278	0
CNNModel	1.0	1e-05	8	0.40667760372161865	0.8637606013956323	0
CNNModel	1.0	1e-05	9	0.40400996804237366	0.8642142158538765	0
CNNModel	1.0	1e-05	10	0.40362271666526794	0.8643608955916053	0
CNNModel	1.0	1e-05	11	0.40222206711769104	0.866371864018469	0
CNNModel	1.0	1e-05	12	0.4012702405452728	0.8660763918865769	0
CNNModel	1.0	1e-05	13	0.4010278582572937	0.8667836628677678	0
CNNModel	1.0	1e-05	14	0.400020033121109	0.8674432242140575	0
CNNModel	1.0	1e-05	15	0.3994638919830322	0.8680983496955719	0
CNNModel	1.0	1e-05	16	0.3991642892360687	0.8686962114817053	0
CNNModel	1.0	1e-05	17	0.3978790044784546	0.8696386496733718	0
CNNModel	1.0	1e-05	18	0.3981756269931793	0.8691112414106241	0
CNNModel	1.0	1e-05	19	0.3969474732875824	0.8696954637155254	0
CNNModel	1.0	1e-05	20	0.3990975022315979	0.8698986520167076	0
CNNModel	1.0	1e-05	21	0.3960821032524109	0.8707259975392692	0
CNNModel	1.0	1e-05	22	0.3960438668727875	0.8703151786485119	0
CNNModel	1.0	1e-05	23	0.39519554376602173	0.8709775985046045	0
CNNModel	1.0	1e-05	24	0.39446985721588135	0.8708849620886658	0
CNNModel	1.0	1e-05	25	0.3951592743396759	0.8705553305861947	0
CNNModel	1.0	1e-05	26	0.39451584219932556	0.8714489878263026	0
CNNModel	1.0	1e-05	27	0.39550405740737915	0.8706205231668194	0
CNNModel	1.0	5e-05	0	0.4168458878993988	0.8547226357604444	0
CNNModel	1.0	5e-05	1	0.4052451550960541	0.8623168176987621	0
CNNModel	1.0	5e-05	2	0.40340670943260193	0.8640415590068368	0
CNNModel	1.0	5e-05	3	0.40607506036758423	0.8669819014147718	0
CNNModel	1.0	5e-05	4	0.3962954580783844	0.8699366898248071	0
CNNModel	1.0	5e-05	5	0.3965804874897003	0.8697056258784654	0
CNNModel	1.0	5e-05	6	0.3928437829017639	0.8714710293992702	0
CNNModel	1.0	5e-05	7	0.39386436343193054	0.8720066962929617	0
CNNModel	1.0	5e-05	8	0.3902420103549957	0.8751739658375461	0
CNNModel	1.0	5e-05	9	0.39285171031951904	0.8732242715846111	0
CNNModel	1.0	5e-05	10	0.39607593417167664	0.8740496786021478	0
CNNModel	1.0	5e-05	11	0.4035775661468506	0.8742741940272806	0
CNNModel	1.0	7.5e-05	0	0.4108230769634247	0.8573147210299988	0
CNNModel	1.0	7.5e-05	1	0.403198778629303	0.8632446956906834	0
CNNModel	1.0	7.5e-05	2	0.40459704399108887	0.8667210197495692	0
CNNModel	1.0	7.5e-05	3	0.398138165473938	0.8675797789030815	0
CNNModel	1.0	7.5e-05	4	0.39617112278938293	0.8702087906949018	0
CNNModel	1.0	7.5e-05	5	0.3961433470249176	0.8695209711413416	0
CNNModel	1.0	7.5e-05	6	0.3971348702907562	0.8681690408928064	0
CNNModel	1.0	7.5e-05	7	0.3934844434261322	0.8709577002786879	0
CNNModel	1.0	7.5e-05	8	0.39684775471687317	0.8700343181053057	0
CNNModel	1.0	7.5e-05	9	0.41635799407958984	0.8700155647107808	0
CNNModel	1.0	7.5e-05	10	0.39803361892700195	0.8685810160347197	0
CNNModel_transf	1.0	1e-05	0	0.6381509304046631	0.7117966681238285	0
CNNModel_transf	1.0	1e-05	1	0.49907317757606506	0.7938475462009412	0
CNNModel_transf	1.0	1e-05	2	0.4576624035835266	0.8212485766691012	0
CNNModel_transf	1.0	1e-05	3	0.441731333732605	0.8339844804543878	0
CNNModel_transf	1.0	1e-05	4	0.4325219690799713	0.8414457827266469	0
CNNModel_transf	1.0	1e-05	5	0.42682117223739624	0.8463496815541568	0
CNNModel_transf	1.0	1e-05	6	0.4231189489364624	0.8492556661731044	0
CNNModel_transf	1.0	1e-05	7	0.42046990990638733	0.8514092174971805	0
CNNModel_transf	1.0	1e-05	8	0.41935786604881287	0.8530567390713996	0
CNNModel_transf	1.0	1e-05	9	0.41606712341308594	0.8547091375987982	0
CNNModel_transf	1.0	1e-05	10	0.4145241677761078	0.8559676327616142	0
CNNModel_transf	1.0	1e-05	11	0.41259926557540894	0.8569030877672852	0
CNNModel_transf	1.0	1e-05	12	0.41182705760002136	0.8581855801377406	0
CNNModel_transf	1.0	1e-05	13	0.41033777594566345	0.8592599051896892	0
CNNModel_transf	1.0	1e-05	14	0.40957292914390564	0.8599084386121423	0
CNNModel_transf	1.0	1e-05	15	0.409307599067688	0.8606574409815151	0
CNNModel_transf	1.0	1e-05	16	0.4078872799873352	0.8620158926293187	0
CNNModel_transf	1.0	1e-05	17	0.40694254636764526	0.8626015274163422	0
CNNModel_transf	1.0	1e-05	18	0.40635979175567627	0.8635131222515482	0
CNNModel_transf	1.0	1e-05	19	0.40561676025390625	0.863352022919924	0
CNNModel_transf	1.0	1e-05	20	0.4050152897834778	0.864326276575505	0
CNNModel_transf	1.0	1e-05	21	0.40436962246894836	0.8648610784220352	0
CNNModel_transf	1.0	1e-05	22	0.40390118956565857	0.8647037511813747	0
CNNModel_transf	1.0	1e-05	23	0.40375271439552307	0.8646463975553482	0
CNNModel_transf	1.0	1e-05	24	0.4031524658203125	0.864644255635768	0
CNNModel_transf	1.0	1e-05	25	0.4028559625148773	0.8649665620730436	0
CNNModel_transf	1.0	1e-05	26	0.40241196751594543	0.8650601391920837	0
CNNModel_transf	1.0	1e-05	27	0.40288329124450684	0.8653020576245883	0
CNNModel_transf	1.0	1e-05	28	0.40198948979377747	0.8656658142383451	0
CNNModel_transf	1.0	1e-05	29	0.4019915759563446	0.8656892568736705	0
CNNModel_transf	1.0	1e-05	30	0.4025537073612213	0.8662216427262723	0
CNNModel_transf	1.0	1e-05	31	0.40107545256614685	0.8665581339385351	0
CNNModel_transf	1.0	1e-05	32	0.40031787753105164	0.8671672527575305	0
CNNModel_transf	1.0	1e-05	33	0.40036824345588684	0.8669345108195416	0
CNNModel_transf	1.0	1e-05	34	0.4003913998603821	0.8674997463384808	0
CNNModel_transf	1.0	5e-05	0	0.44128987193107605	0.8357208870519056	0
CNNModel_transf	1.0	5e-05	1	0.42265304923057556	0.8520136142435524	0
CNNModel_transf	1.0	5e-05	2	0.41132691502571106	0.8574213516536047	0
CNNModel_transf	1.0	5e-05	3	0.40777817368507385	0.8600561454149417	0
CNNModel_transf	1.0	5e-05	4	0.404743492603302	0.8651900704176938	0
CNNModel_transf	1.0	5e-05	5	0.40208253264427185	0.8651244574469884	0
CNNModel_transf	1.0	5e-05	6	0.4021265506744385	0.8654270191114328	0
CNNModel_transf	1.0	5e-05	7	0.4039934575557709	0.8658537692874113	0
CNNModel_transf	1.0	5e-05	8	0.3989182710647583	0.8689001641933741	0
CNNModel_transf	1.0	5e-05	9	0.4005255699157715	0.8671833118013673	0
CNNModel_transf	1.0	5e-05	10	0.39858004450798035	0.867507960004102	0
CNNModel_transf	1.0	5e-05	11	0.3969094157218933	0.8678897541358961	0
CNNModel_transf	1.0	5e-05	12	0.39985570311546326	0.8679817810219045	0
CNNModel_transf	1.0	5e-05	13	0.40023964643478394	0.8672152186233976	0
CNNModel_transf	1.0	5e-05	14	0.39902880787849426	0.8677218215026856	0
CNNModel_transf	1.0	7.5e-05	0	0.4349275827407837	0.845919506876297	0
CNNModel_transf	1.0	7.5e-05	1	0.4121105670928955	0.8567539663411577	0
CNNModel_transf	1.0	7.5e-05	2	0.4073014557361603	0.8631474571096484	0
CNNModel_transf	1.0	7.5e-05	3	0.4021749496459961	0.8651783080602525	0
CNNModel_transf	1.0	7.5e-05	4	0.40138518810272217	0.8647781973399257	0
CNNModel_transf	1.0	7.5e-05	5	0.39768412709236145	0.8680489899046997	0
CNNModel_transf	1.0	7.5e-05	6	0.39733636379241943	0.8687464248999743	0
CNNModel_transf	1.0	7.5e-05	7	0.40585219860076904	0.8692255175665671	0
CNNModel_transf	1.0	7.5e-05	8	0.39889779686927795	0.8669117469464692	0
CNNModel_transf	1.0	7.5e-05	9	0.4004616439342499	0.8671812234119332	0
CNNModel_freezing	1.0	1e-05	0	0.7293927669525146	0.6528023159967604	0
CNNModel_freezing	1.0	1e-05	1	0.5436020493507385	0.7570658686592326	0
CNNModel_freezing	1.0	1e-05	2	0.48976799845695496	0.7955118141460734	0
CNNModel_freezing	1.0	1e-05	3	0.46725690364837646	0.8132700325794462	0
CNNModel_freezing	1.0	1e-05	4	0.45312902331352234	0.8249291789029443	0
CNNModel_freezing	1.0	1e-05	5	0.44431403279304504	0.8320635754277729	0
CNNModel_freezing	1.0	1e-05	6	0.43762269616127014	0.8356266675711119	0
CNNModel_freezing	1.0	1e-05	7	0.43399250507354736	0.8401557318995592	0
CNNModel_freezing	1.0	1e-05	8	0.4306502342224121	0.8425855530215098	0
CNNModel_freezing	1.0	1e-05	9	0.42803075909614563	0.8445649886236306	0
CNNModel_freezing	1.0	1e-05	10	0.4259221851825714	0.8461484481739111	0
CNNModel_freezing	1.0	1e-05	11	0.42423510551452637	0.8481526468216284	0
CNNModel_freezing	1.0	1e-05	12	0.42256200313568115	0.8502284109922998	0
CNNModel_freezing	1.0	1e-05	13	0.4208139181137085	0.8510457385264484	0
CNNModel_freezing	1.0	1e-05	14	0.4201677441596985	0.8522499605447136	0
CNNModel_freezing	1.0	1e-05	15	0.4185502827167511	0.8531169611995228	0
CNNModel_freezing	1.0	1e-05	16	0.4179799258708954	0.8536471130606934	0
CNNModel_freezing	1.0	1e-05	17	0.4165775179862976	0.8544286845984376	0
CNNModel_freezing	1.0	1e-05	18	0.4167335629463196	0.8556234888796617	0
CNNModel_freezing	1.0	1e-05	19	0.4150535464286804	0.8562228587884452	0
CNNModel_freezing	1.0	1e-05	20	0.41419267654418945	0.8566904317675922	0
CNNModel_freezing	1.0	1e-05	21	0.41353684663772583	0.8573865356465664	0
CNNModel_freezing	1.0	1e-05	22	0.41295868158340454	0.8573736413049684	0
CNNModel_freezing	1.0	1e-05	23	0.41286739706993103	0.8575913534053965	0
CNNModel_freezing	1.0	1e-05	24	0.4119335114955902	0.8583221990629397	0
CNNModel_freezing	1.0	1e-05	25	0.4118105471134186	0.858369721699197	0
CNNModel_freezing	1.0	1e-05	26	0.41090452671051025	0.8589249656379284	0
CNNModel_freezing	1.0	1e-05	27	0.4104844033718109	0.8590404401554093	0
CNNModel_freezing	1.0	1e-05	28	0.4099167287349701	0.8604249274388164	0
CNNModel_freezing	1.0	1e-05	29	0.4099498391151428	0.860209918967635	0
CNNModel_freezing	1.0	1e-05	30	0.4095258116722107	0.8612490811371984	0
CNNModel_freezing	1.0	1e-05	31	0.4105776846408844	0.8615833447816473	0
CNNModel_freezing	1.0	1e-05	32	0.40853726863861084	0.8617871418990245	0
CNNModel_freezing	1.0	1e-05	33	0.4078913629055023	0.8622615296226408	0
CNNModel_freezing	1.0	1e-05	34	0.40760812163352966	0.8623463834690686	0
CNNModel_freezing	1.0	5e-05	0	0.4571719169616699	0.8205530866024693	0
CNNModel_freezing	1.0	5e-05	1	0.42990145087242126	0.8433944670441584	0
CNNModel_freezing	1.0	5e-05	2	0.42122769355773926	0.8505845691802482	0
CNNModel_freezing	1.0	5e-05	3	0.4156714379787445	0.8556554071214565	0
CNNModel_freezing	1.0	5e-05	4	0.42047256231307983	0.8576490353496526	0
CNNModel_freezing	1.0	5e-05	5	0.4126730263233185	0.8597644325267783	0
CNNModel_freezing	1.0	5e-05	6	0.407870888710022	0.8618585689573345	0
CNNModel_freezing	1.0	5e-05	7	0.4058690369129181	0.8629804087944519	0
CNNModel_freezing	1.0	5e-05	8	0.4061969816684723	0.8636578813276344	0
CNNModel_freezing	1.0	5e-05	9	0.40342435240745544	0.8632323330818701	0
CNNModel_freezing	1.0	5e-05	10	0.40261179208755493	0.8654628343478652	0
CNNModel_freezing	1.0	5e-05	11	0.40314677357673645	0.864079043670093	0
CNNModel_freezing	1.0	5e-05	12	0.40332603454589844	0.8653310566890814	0
CNNModel_freezing	1.0	5e-05	13	0.39948374032974243	0.8665570305037898	0
CNNModel_freezing	1.0	5e-05	14	0.40035560727119446	0.8673380082137799	0
CNNModel_freezing	1.0	5e-05	15	0.39829546213150024	0.8683772667376063	0
CNNModel_freezing	1.0	5e-05	16	0.3993748426437378	0.8682234789102073	0
CNNModel_freezing	1.0	5e-05	17	0.4044109880924225	0.86808420346229	0
CNNModel_freezing	1.0	5e-05	18	0.3963213264942169	0.8684866980584574	0
CNNModel_freezing	1.0	5e-05	19	0.3968546390533447	0.8693704479391208	0
